#arraival_time,agent
19:00:00,0
19:01:00,10
19:02:00,4
19:03:00,9
19:04:00,2
19:05:00,8
19:06:00,8
19:07:00,7
19:08:00,10
19:09:00,5
19:10:00,8
19:11:00,4
19:12:00,6
19:13:00,12
19:14:00,26
19:15:00,8
19:16:00,10
19:17:00,6
19:18:00,10
19:19:00,9
19:20:00,3
19:21:00,7
19:22:00,10
19:23:00,0
19:24:00,5
19:25:00,0
19:26:00,6
19:27:00,1
19:28:00,3
19:29:00,1
19:30:00,2
19:31:00,3
19:32:00,8
19:33:00,7
19:34:00,4
19:35:00,9
19:36:00,11
19:37:00,4
19:38:00,9
19:39:00,3
19:40:00,6
19:41:00,6
19:42:00,5
19:43:00,7
19:44:00,13
19:45:00,7
19:46:00,5
19:47:00,6
19:48:00,13
19:49:00,7
19:50:00,6
19:51:00,1
19:52:00,9
19:53:00,22
19:54:00,18
19:55:00,22
19:56:00,24
19:57:00,39
19:58:00,28
19:59:00,12
20:00:00,11
20:01:00,23
20:02:00,37
20:03:00,17
20:04:00,36
20:05:00,24
20:06:00,43
20:07:00,83
20:08:00,53
20:09:00,78
20:10:00,63
20:11:00,71
20:12:00,101
20:13:00,65
20:14:00,75
20:15:00,162
20:16:00,100
20:17:00,178
20:18:00,82
20:19:00,143
20:20:00,136
20:21:00,150
20:22:00,177
20:23:00,187
20:24:00,178
20:25:00,207
20:26:00,202
20:27:00,209
20:28:00,221
20:29:00,227
20:30:00,235
20:31:00,238
20:32:00,226
20:33:00,235
20:34:00,264
20:35:00,254
20:36:00,312
20:37:00,280
20:38:00,302
20:39:00,188
20:40:00,38
20:41:00,28
20:42:00,268
20:43:00,232
20:44:00,208
20:45:00,277
20:46:00,268
20:47:00,276
20:48:00,238
20:49:00,285
20:50:00,290
20:51:00,224
20:52:00,222
20:53:00,239
20:54:00,277
20:55:00,207
20:56:00,214
20:57:00,214
20:58:00,191
20:59:00,42
21:00:00,78
21:01:00,248
21:02:00,274
21:03:00,325
21:04:00,304
21:05:00,233
21:06:00,276
21:07:00,279
21:08:00,226
21:09:00,146
21:10:00,201
21:11:00,309
21:12:00,291
21:13:00,279
21:14:00,221
21:15:00,294
21:16:00,91
21:17:00,6
21:18:00,83
21:19:00,223
21:20:00,220
21:21:00,240
21:22:00,272
21:23:00,273
21:24:00,293
21:25:00,221
21:26:00,241
21:27:00,252
21:28:00,248
21:29:00,277
21:30:00,284
21:31:00,258
21:32:00,242
21:33:00,278
21:34:00,312
21:35:00,303
21:36:00,296
21:37:00,261
21:38:00,192
21:39:00,234
21:40:00,292
21:41:00,249
21:42:00,231
21:43:00,263
21:44:00,250
21:45:00,222
21:46:00,191
21:47:00,282
21:48:00,253
21:49:00,208
21:50:00,238
21:51:00,201
21:52:00,242
21:53:00,221
21:54:00,229
21:55:00,195
21:56:00,251
21:57:00,236
21:58:00,249
21:59:00,185
22:00:00,114
22:01:00,282
22:02:00,197
22:03:00,238
22:04:00,260
22:05:00,231
22:06:00,255
22:07:00,293
22:08:00,326
22:09:00,284
22:10:00,260
22:11:00,257
22:12:00,286
22:13:00,272
22:14:00,257
22:15:00,239
22:16:00,253
22:17:00,244
22:18:00,258
22:19:00,290
22:20:00,304
22:21:00,237
22:22:00,267
22:23:00,264
22:24:00,142
22:25:00,17
22:26:00,42
22:27:00,167
22:28:00,179
22:29:00,240
22:30:00,237
22:31:00,252
22:32:00,254
22:33:00,230
22:34:00,128
22:35:00,130
22:36:00,201
22:37:00,245
22:38:00,232
22:39:00,261
22:40:00,234
22:41:00,234
22:42:00,227
22:43:00,209
22:44:00,238
22:45:00,200
22:46:00,197
22:47:00,175
22:48:00,147
22:49:00,121
22:50:00,61
22:51:00,126
22:52:00,98
22:53:00,94
22:54:00,88
22:55:00,93
22:56:00,60
22:57:00,86
22:58:00,93
22:59:00,53
23:00:00,30
23:01:00,68
23:02:00,72
23:03:00,34
23:04:00,31
23:05:00,35
23:06:00,50
23:07:00,47
23:08:00,70
23:09:00,40
23:10:00,44
23:11:00,30
23:12:00,49
23:13:00,36
23:14:00,38
23:15:00,40
23:16:00,23
23:17:00,27
23:18:00,51
23:19:00,24
23:20:00,26
23:21:00,51
23:22:00,32
23:23:00,24
23:24:00,29
23:25:00,30
23:26:00,20
23:27:00,24
23:28:00,17
23:29:00,21
23:30:00,18
23:31:00,22
23:32:00,19
23:33:00,31
23:34:00,42
23:35:00,11
23:36:00,20
23:37:00,22
23:38:00,16
23:39:00,2
23:40:00,28
23:41:00,13
23:42:00,30
23:43:00,15
23:44:00,15
23:45:00,18
23:46:00,5
23:47:00,1
23:48:00,0
23:49:00,0
23:50:00,1
23:51:00,0
23:52:00,0
23:53:00,0
23:54:00,0
23:55:00,0
23:56:00,0
23:57:00,0
23:58:00,0
23:59:00,0
24:00:00,0
